H,Time,dT
15960.293851442584,1958-02-11 05:14:48.679331,62088.679330961946
15815.36572535464,1958-02-11 05:33:51.938010,63231.93800976895
15867.421166965176,1958-02-11 05:37:51.102469,63471.10246901364
15804.875864611433,1958-02-11 06:00:16.731075,64816.731074873824
15802.762137978572,1958-02-11 06:04:21.151896,65061.15189586016
15781.296653228705,1958-02-11 06:19:54.156105,65994.1561050015
15768.38454053666,1958-02-11 06:26:42.838230,66402.83823041411
15753.233978211676,1958-02-11 06:28:01.683657,66481.68365653873
15724.01597435184,1958-02-11 06:30:38.060418,66638.06041835256
15702.934505154837,1958-02-11 06:34:05.029662,66845.02966192972
15729.484093249896,1958-02-11 06:34:33.282606,66873.28260629102
15690.498309173607,1958-02-11 06:35:50.813942,66950.81394198023
15660.919265050396,1958-02-11 06:38:27.628734,67107.6287339392
15645.755573988561,1958-02-11 06:38:46.026000,67126.02600003495
15718.190097374621,1958-02-11 06:40:49.769516,67249.76951603609
15743.302088784596,1958-02-11 06:41:49.998661,67309.99866099241
15723.096962772335,1958-02-11 06:43:14.976509,67394.97650914895
15658.142537206604,1958-02-11 06:47:04.942335,67624.94233534575
15641.90885409149,1958-02-11 06:48:25.101852,67705.10185190577
15628.92453334677,1958-02-11 06:49:41.319097,67781.31909715958
15684.648144033215,1958-02-11 06:52:29.522673,67949.52267289211
15703.381976269144,1958-02-11 06:54:33.923234,68073.92323411093
15717.469110909271,1958-02-11 06:54:47.064138,68087.06413846505
15681.245175441676,1958-02-11 06:57:23.878930,68243.87893042402
15721.566152055617,1958-02-11 06:58:47.980718,68327.98071829029
15701.618349285618,1958-02-11 06:57:47.532558,68267.5325582614
15739.560398782325,1958-02-11 06:59:32.659793,68372.65979309422
15757.973452214552,1958-02-11 06:59:10.320256,68350.32025569225
15717.719432158547,1958-02-11 07:02:54.504084,68574.50408397327
15702.773678128424,1958-02-11 07:03:18.683348,68598.68334798481
15736.356986990908,1958-02-11 07:03:08.170625,68588.17062450152
15651.316531811486,1958-02-11 07:09:36.390485,68976.39048456275
15632.423341717315,1958-02-11 07:08:45.891866,68925.89186640199
15671.455076372578,1958-02-11 07:10:59.929091,69059.92909081384
15646.915279076984,1958-02-11 07:12:20.088607,69140.0886073739
15632.482421033139,1958-02-11 07:13:17.908587,69197.90858653194
15704.721107427851,1958-02-11 07:14:11.348264,69251.34826423862
15688.837523962073,1958-02-11 07:14:40.696284,69280.6962839628
