datetime,x,y,z
1989-03-11 13:52:40,16576,-4136,54663
1989-03-11 13:52:50,16576,-4136,54661
1989-03-11 13:53:00,16575,-4138,54662
1989-03-11 13:53:10,16576,-4137,54663
1989-03-11 13:53:20,16576,-4137,54663
1989-03-11 13:53:30,16576,-4138,54662
1989-03-11 13:53:40,16575,-4136,54663
1989-03-11 13:53:50,16578,-4136,54662
1989-03-11 13:54:00,16577,-4135,54663
1989-03-11 13:54:10,16577,-4135,54661
1989-03-11 13:54:20,16578,-4134,54664
1989-03-11 13:54:30,16579,-4135,54663
1989-03-11 13:54:40,16578,-4135,54662
1989-03-11 13:54:50,16577,-4136,54663
1989-03-11 13:55:00,16577,-4136,54663
1989-03-11 13:55:10,16578,-4135,54662
1989-03-11 13:55:20,16580,-4135,54663
1989-03-11 13:55:30,16580,-4135,54662
1989-03-11 13:55:40,16580,-4133,54664
1989-03-11 13:55:50,16580,-4135,54661
1989-03-11 13:56:00,16580,-4133,54664
1989-03-11 13:56:10,16581,-4134,54663
1989-03-11 13:56:20,16581,-4133,54663
1989-03-11 13:56:30,16580,-4134,54662
1989-03-11 13:56:40,16581,-4134,54662
1989-03-11 13:56:50,16580,-4134,54662
1989-03-11 13:57:00,16580,-4134,54663
1989-03-11 13:57:10,16578,-4134,54662
1989-03-11 13:57:20,16579,-4134,54663
1989-03-11 13:57:30,16579,-4134,54663
1989-03-11 13:57:40,16579,-4134,54662
1989-03-11 13:57:50,16578,-4134,54663
1989-03-11 13:58:00,16579,-4134,54662
1989-03-11 13:58:10,16579,-4135,54661
1989-03-11 13:58:20,16578,-4135,54662
1989-03-11 13:58:30,16580,-4132,54664
1989-03-11 13:58:40,16578,-4134,54662
1989-03-11 13:58:50,16579,-4135,54661
1989-03-11 13:59:00,16579,-4133,54664
1989-03-11 13:59:10,16578,-4132,54664
1989-03-11 13:59:20,16580,-4134,54662
1989-03-11 13:59:30,16579,-4135,54661
1989-03-11 13:59:40,16579,-4134,54662
1989-03-11 13:59:50,16580,-4133,54664
1989-03-11 14:00:00,16579,-4135,54663
