D,Time,dT
9.704458032915781,1958-02-11 04:57:05.686735,61025.68673487899
9.836331474819612,1958-02-11 04:59:58.625662,61198.62566191994
9.843615224912558,1958-02-11 05:02:51.564589,61371.564588960915
9.788896845111834,1958-02-11 05:12:56.850834,61976.8508336043
9.82435451133791,1958-02-11 05:17:16.259224,62236.25922416575
9.892189356237594,1958-02-11 05:19:52.727777,62392.72777720282
9.705667925764441,1958-02-11 05:26:52.722314,62812.72231430229
9.685821780166247,1958-02-11 05:26:52.722314,62812.72231430229
9.75642488220584,1958-02-11 05:27:50.368623,62870.36862331595
9.718123689008259,1958-02-11 05:54:19.759715,64459.75971469246
9.772283585243663,1958-02-11 05:56:20.542457,64580.542457387746
9.749346033321135,1958-02-11 05:57:08.581048,64628.581048232445
9.717922969457328,1958-02-11 05:57:08.581048,64628.581048232445
9.801893436034545,1958-02-11 06:01:27.989439,64887.98943879389
9.750479494766722,1958-02-11 06:02:25.635748,64945.63574780755
9.72535307755616,1958-02-11 06:03:37.693634,65017.69363407461
9.83071620599377,1958-02-11 06:05:18.574675,65118.57467484851
9.742636006611265,1958-02-11 06:08:23.042864,65303.042863692215
9.766904115427305,1958-02-11 06:08:40.336756,65320.33675639631
9.714156690105852,1958-02-11 06:12:59.745147,65579.74514695778
9.653120523051033,1958-02-11 06:16:50.330383,65810.33038301238
9.681858188540168,1958-02-11 06:38:11.359472,67091.35947220473
9.709087824501987,1958-02-11 06:37:29.726027,67049.72602680598
9.680006488732362,1958-02-11 06:40:51.488108,67251.48810835376
9.637637472228318,1958-02-11 06:56:23.436771,68183.43677074119
9.967277982686163,1958-02-11 06:55:45.005898,68145.00589806541
9.678581937475068,1958-02-11 07:00:04.414289,68404.41428862687
9.875267582985588,1958-02-11 07:10:38.523688,69038.52368777708
9.93287409410247,1958-02-11 07:17:22.047851,69442.04785087267
10.00760449190806,1958-02-11 07:20:24.594496,69624.59449608259
10.092651502928573,1958-02-11 07:24:05.572014,69845.57201396825
10.066770203647652,1958-02-11 07:23:54.042752,69834.04275216552
10.169291059610948,1958-02-11 07:28:53.803559,70133.80355903653
10.077501823119267,1958-02-11 07:31:08.311613,70268.31161340172
9.988607222744006,1958-02-11 07:32:15.565641,70335.56564058433
9.885102840981153,1958-02-11 07:35:37.327722,70537.32772213213
9.920638564810368,1958-02-11 07:41:52.028731,70912.02873072088
9.954047218954033,1958-02-11 07:50:02.022357,71402.02235733696
9.907661488288442,1958-02-11 07:48:06.729739,71286.72973930962
9.976176549444055,1958-02-11 07:51:57.314975,71517.31497536425
9.964126406959409,1958-02-11 07:53:52.607593,71632.60759339157
9.91236445887759,1958-02-11 07:55:19.077057,71719.07705691207
9.887392530673242,1958-02-11 07:55:47.900211,71747.9002114189
9.866154357819061,1958-02-11 07:57:43.192829,71863.19282944618
9.823893971479388,1958-02-11 07:59:38.485447,71978.48544747349
9.802095897942689,1958-02-11 08:01:48.189643,72108.18964275422
9.819315893055261,1958-02-11 08:06:22.009611,72382.00961056909
9.872037949655695,1958-02-11 08:06:50.832765,72410.83276507592
9.796793672629438,1958-02-11 08:09:14.948538,72554.94853761005
9.818109903086757,1958-02-11 08:09:14.948538,72554.94853761005
9.889769570540274,1958-02-11 08:12:57.298587,72777.29858666273
9.914154208206716,1958-02-11 08:16:06.707888,72966.70788770758
9.874328940307835,1958-02-11 08:19:49.057937,73189.05793676026
9.828107781088862,1958-02-11 08:20:08.273373,73208.27337309814
