Time,H,dT
1958-02-11 05:27:40,15894.94811200545,62860.00000017474
1958-02-11 05:28:00,15895.206530309197,62880.00000018388
1958-02-11 05:28:20,15895.464948612946,62900.00000019302
1958-02-11 05:28:40,15895.723366916693,62920.000000202155
1958-02-11 05:29:00,15895.98178522044,62940.000000211294
1958-02-11 05:29:20,15896.240203524188,62960.00000022043
1958-02-11 05:29:40,15896.498621827935,62980.00000022957
1958-02-11 05:30:00,15896.757040131684,63000.00000023871
1958-02-11 05:30:20,15897.015458435431,63020.00000024785
1958-02-11 05:30:40,15897.273876739178,63040.00000025699
1958-02-11 05:31:00,15896.943461952855,63060.000000249434
1958-02-11 05:31:20,15895.793299183364,63080.00000021866
1958-02-11 05:31:40,15894.643136413873,63100.00000018788
1958-02-11 05:32:00,15893.492973644383,63120.0000001571
1958-02-11 05:32:20,15892.342810874894,63140.000000126325
1958-02-11 05:32:40,15891.192648105403,63160.00000009555
1958-02-11 05:33:00,15890.042485335913,63180.00000006477
1958-02-11 05:33:20,15888.892322566422,63200.00000003399
1958-02-11 05:33:40,15887.742159796931,63220.000000003216
1958-02-11 05:34:00,15886.591997027443,63239.99999997244
1958-02-11 05:34:20,15885.441834257952,63259.99999994166
1958-02-11 05:34:40,15884.291671488461,63279.999999910884
1958-02-11 05:35:00,15883.14150871897,63299.99999988011
1958-02-11 05:35:20,15881.991345949482,63319.99999984933
1958-02-11 05:35:40,15880.841183179991,63339.99999981855
1958-02-11 05:36:00,15879.6910204105,63359.999999787775
1958-02-11 05:36:20,15878.54085764101,63379.999999757
1958-02-11 05:36:40,15877.39069487152,63399.99999972622
1958-02-11 05:37:00,15896.594648146542,63419.99999989101
1958-02-11 05:37:20,15934.692645343419,63440.000000243876
1958-02-11 05:37:40,15920.81706965289,63460.000000213266
1958-02-11 05:38:00,15906.941493962362,63480.00000018265
1958-02-11 05:38:20,15893.065918271834,63500.00000015204
1958-02-11 05:38:40,15879.190342581305,63520.00000012143
1958-02-11 05:39:00,15865.314766890777,63540.00000009081
1958-02-11 05:39:20,15851.439191200248,63560.0000000602
1958-02-11 05:39:40,15837.56361550972,63580.00000002959
1958-02-11 05:40:00,15828.355716936872,63600.00000000767
1958-02-11 05:40:20,15829.665650781799,63620.00000000532
1958-02-11 05:40:40,15830.975584626724,63640.000000002976
1958-02-11 05:41:00,15832.28551847165,63660.00000000063
1958-02-11 05:41:20,15833.595452316575,63679.99999999829
1958-02-11 05:41:40,15834.905386161501,63699.99999999594
1958-02-11 05:42:00,15836.215320006426,63719.9999999936
1958-02-11 05:42:20,15837.525253851352,63739.999999991254
1958-02-11 05:42:40,15838.835187696277,63759.99999998891
