"Timestamp","TZ","S_4_V (V)","S_4_I (mA)","Calculation (Watts)"
2024/05/12 00:15:25.002,n,619.58648,593.06292,367.4538
2024/05/12 00:15:30.000,n,618.97388,593.0968,367.11144
2024/05/12 00:15:35.007,n,619.25476,593.04652,367.24688
2024/05/12 00:15:40.000,n,619.51976,593.01312,367.38332
2024/05/12 00:15:45.008,n,618.97388,592.69788,366.86452
2024/05/12 00:15:50.066,n,619.32104,593.01312,367.26552
2024/05/12 00:15:55.000,n,619.20552,592.78108,367.05332
2024/05/12 00:16:00.004,n,619.02368,592.39952,366.70936
2024/05/12 00:16:05.000,n,619.23836,592.73176,367.0422
2024/05/12 00:16:10.008,n,619.1228,593.06292,367.17876
2024/05/12 00:16:15.000,n,619.23836,593.11324,367.27844
2024/05/12 00:16:20.000,n,619.6194,592.88068,367.3604
2024/05/12 00:16:25.004,n,619.22192,593.17952,367.30976
2024/05/12 00:16:30.142,n,618.87476,592.88068,366.91888
2024/05/12 00:16:35.007,n,619.37084,592.83088,367.18216
2024/05/12 00:16:40.067,n,619.25476,592.79796,367.09296
2024/05/12 00:16:45.000,n,619.43708,592.79796,367.201
2024/05/12 00:16:50.003,n,619.073,592.71428,366.9334
2024/05/12 00:16:55.000,n,619.5362,592.86372,367.30052
2024/05/12 00:17:00.006,n,619.46996,592.7646,367.19988
2024/05/12 00:17:05.000,n,619.99988,592.99672,367.65788
2024/05/12 00:17:10.109,n,619.80116,592.7646,367.39616
2024/05/12 00:17:15.004,n,619.27172,593.22876,367.3698
2024/05/12 00:17:20.000,n,618.95744,592.914,366.98852
2024/05/12 00:17:25.006,n,619.04012,592.8144,366.97588
2024/05/12 00:17:30.002,n,619.42016,592.914,367.26288
2024/05/12 00:17:35.141,n,618.85832,593.29604,367.1662
2024/05/12 00:17:40.002,n,619.25476,592.99672,367.21604
2024/05/12 00:17:45.000,n,619.46996,593.11324,367.41584
2024/05/12 00:17:50.005,n,619.51976,592.84728,367.28064
2024/05/12 00:17:55.000,n,619.30456,593.14612,367.33812
2024/05/12 00:18:00.080,n,618.77568,592.83088,366.82936
2024/05/12 00:18:05.002,n,618.95744,593.0804,367.09152
2024/05/12 00:18:10.000,n,618.77568,592.9638,366.9116
2024/05/12 00:18:15.001,n,619.073,592.98028,367.09808
2024/05/12 00:18:20.000,n,619.22192,593.0804,367.2484
2024/05/12 00:18:25.008,n,619.78472,593.17952,367.6436
2024/05/12 00:18:30.081,n,620.099,593.17952,367.83
2024/05/12 00:18:35.128,n,619.18904,593.0804,367.22888
2024/05/12 00:18:40.004,n,618.92408,593.39516,367.26656
2024/05/12 00:18:45.000,n,619.0894,592.83088,367.01532
2024/05/12 00:18:50.008,n,619.27172,593.21236,367.3596
2024/05/12 00:18:55.001,n,619.32104,592.98028,367.24516
2024/05/12 00:19:00.000,n,618.85832,592.98028,366.9708
2024/05/12 00:19:05.004,n,618.90764,593.11324,367.08232
2024/05/12 00:19:10.080,n,618.90764,593.03008,367.03088
2024/05/12 00:19:15.007,n,619.42016,592.74816,367.16016
2024/05/12 00:19:20.001,n,618.57696,593.34532,367.02976
2024/05/12 00:19:25.000,n,618.87476,593.01312,367.00084
2024/05/12 00:19:30.003,n,619.1228,593.03008,367.15844
2024/05/12 00:19:35.000,n,618.72588,592.79796,366.77948
2024/05/12 00:19:40.006,n,619.23836,593.04652,367.23712
2024/05/12 00:19:45.000,n,618.84144,592.86372,366.8886
2024/05/12 00:19:50.000,n,619.05656,593.21236,367.232
2024/05/12 00:19:55.003,n,619.02368,592.93096,367.03828
2024/05/12 00:20:00.000,n,618.7094,592.73176,366.72872
2024/05/12 00:20:05.006,n,619.18904,592.99672,367.17708
2024/05/12 00:20:10.000,n,618.6596,592.9638,366.84276
2024/05/12 00:20:15.125,n,618.87476,593.34532,367.20644
2024/05/12 00:20:20.003,n,618.80852,592.88068,366.87964
2024/05/12 00:20:25.000,n,619.7354,592.93096,367.46032
2024/05/12 00:20:30.005,n,618.87476,592.93096,366.95
