Time,Z,dT
1958-02-10 16:54:40,44974.66556940502,17679.999999876552
1958-02-10 16:55:00,44975.39581725796,17699.999999860083
1958-02-10 16:55:20,44976.12606511089,17719.999999843618
1958-02-10 16:55:40,44976.85631296383,17739.99999982715
1958-02-10 16:56:00,44977.58656081676,17759.999999810683
1958-02-10 16:56:20,44978.31680866969,17779.999999794214
1958-02-10 16:56:40,44979.04705652263,17799.99999977775
1958-02-10 16:57:00,44979.77730437556,17819.99999976128
1958-02-10 16:57:20,44980.5075522285,17839.999999744814
1958-02-10 16:57:40,44981.23780008143,17859.99999972835
1958-02-10 16:58:00,44981.968047934366,17879.99999971188
1958-02-10 16:58:20,44982.6982957873,17899.999999695414
1958-02-10 16:58:40,44983.428543640235,17919.999999678945
1958-02-10 16:59:00,44984.158791493166,17939.99999966248
1958-02-10 16:59:20,44984.8890393461,17959.99999964601
1958-02-10 16:59:40,44985.619287199035,17979.999999629545
1958-02-10 17:00:00,44986.349535051966,17999.999999613075
1958-02-10 17:00:20,44987.079782904904,18019.99999959661
1958-02-10 17:00:40,44987.810030757835,18039.999999580145
1958-02-10 17:01:00,44988.54027861077,18059.999999563675
1958-02-10 17:01:20,44989.270526463704,18079.99999954721
1958-02-10 17:01:40,44990.000774316635,18099.99999953074
1958-02-10 17:02:00,44990.73102216957,18119.999999514275
1958-02-10 17:02:20,44991.461270022504,18139.999999497806
1958-02-10 17:02:40,44991.496209541525,18159.999999502455
1958-02-10 17:03:00,44991.36122573962,18179.999999512263
1958-02-10 17:03:20,44991.22624193772,18199.99999952207
1958-02-10 17:03:40,44991.09125813582,18219.99999953188
1958-02-10 17:04:00,44990.95627433392,18239.999999541687
1958-02-10 17:04:20,44990.82129053202,18259.9999995515
1958-02-10 17:04:40,44990.686306730124,18279.999999561307
1958-02-10 17:05:00,44990.55132292822,18299.999999571115
1958-02-10 17:05:20,44990.41633912632,18319.999999580923
1958-02-10 17:05:40,44990.28135532442,18339.99999959073
1958-02-10 17:06:00,44990.14637152252,18359.99999960054
1958-02-10 17:06:20,44990.01138772062,18379.999999610347
1958-02-10 17:06:40,44989.876403918715,18399.999999620155
1958-02-10 17:07:00,44989.74142011682,18419.999999629963
1958-02-10 17:07:20,44989.60643631492,18439.999999639775
1958-02-10 17:07:40,44989.47145251302,18459.999999649583
1958-02-10 17:08:00,44989.33646871112,18479.99999965939
1958-02-10 17:08:20,44989.201484909216,18499.9999996692
1958-02-10 17:08:40,44989.066501107314,18519.999999679007
1958-02-10 17:09:00,44988.93151730541,18539.999999688815
1958-02-10 17:09:20,44988.79653350352,18559.999999698623
1958-02-10 17:09:40,44988.66154970162,18579.99999970843
1958-02-10 17:10:00,44988.526565899716,18599.99999971824
1958-02-10 17:10:20,44988.391582097815,18619.999999728047
1958-02-10 17:10:40,44988.25659829591,18639.999999737858
1958-02-10 17:11:00,44988.12161449401,18659.999999747666
1958-02-10 17:11:20,44987.98663069211,18679.999999757474
1958-02-10 17:11:40,44987.851646890216,18699.999999767282
1958-02-10 17:12:00,44987.716663088315,18719.99999977709
1958-02-10 17:12:20,44987.58167928641,18739.999999786898
1958-02-10 17:12:40,44987.08116164258,18759.999999789703
1958-02-10 17:13:00,44986.235160145916,18779.99999978589
1958-02-10 17:13:20,44985.389158649254,18799.999999782078
1958-02-10 17:13:40,44984.54315715259,18819.99999977826
1958-02-10 17:14:00,44983.69715565593,18839.99999977445
1958-02-10 17:14:20,44982.85115415927,18859.999999770636
1958-02-10 17:14:40,44982.005152662605,18879.99999976682
1958-02-10 17:15:00,44981.15915116594,18899.999999763008
1958-02-10 17:15:20,44980.31314966928,18919.999999759195
1958-02-10 17:15:40,44979.46714817262,18939.99999975538
1958-02-10 17:16:00,44978.621146675956,18959.999999751566
1958-02-10 17:16:20,44977.775145179294,18979.999999747753
1958-02-10 17:16:40,44976.92914368263,18999.999999743937
1958-02-10 17:17:00,44976.08314218597,19019.999999740125
1958-02-10 17:17:20,44975.23714068931,19039.999999736312
1958-02-10 17:17:40,44974.391139192645,19059.999999732496
1958-02-10 17:18:00,44973.54513769599,19079.999999728683
1958-02-10 17:18:20,44972.69913619933,19099.99999972487
1958-02-10 17:18:40,44971.853134702666,19119.999999721058
1958-02-10 17:19:00,44971.007133206,19139.99999971724
1958-02-10 17:19:20,44970.16113170934,19159.99999971343
1958-02-10 17:19:40,44969.31513021268,19179.999999709617
1958-02-10 17:20:00,44968.46912871602,19199.9999997058
1958-02-10 17:20:20,44967.623127219355,19219.999999701988
1958-02-10 17:20:40,44966.77712572269,19239.999999698175
1958-02-10 17:21:00,44965.93112422603,19259.99999969436
1958-02-10 17:21:20,44965.08512272937,19279.999999690546
1958-02-10 17:21:40,44964.239121232706,19299.999999686734
1958-02-10 17:22:00,44963.39311973604,19319.999999682917
1958-02-10 17:22:20,44962.54711823938,19339.999999679105
1958-02-10 17:22:40,44961.70111674272,19359.999999675292
1958-02-10 17:23:00,44960.90535726547,19379.999999672968
